BUNDLE;IMPORT;SYMBOLS
"modules/apps/layout/layout-locked-layouts-web";"layout-locked-layouts-web";"LockedLayoutDropdownDefaultPropsTransformer,ManagementToolbarPropsTransformer"
"modules/apps/layout/layout-page-template-admin-web";"layout-page-template-admin-web";"ActionsComponentPropsTransformer,AssetDisplayPageUsagesManagementToolbarPropsTransformer,DisplayPageDropdownPropsTransformer,DisplayPageManagementToolbarPropsTransformer,ImportPageTemplates,LayoutPageTemplateCollectionPropsTransformer,LayoutPageTemplateEntryManagementToolbarPropsTransformer,LayoutPageTemplateEntryPropsTransformer,LayoutPrototypeDropdownPropsTransformer,LayoutPrototypeManagementToolbarPropsTransformer,ManagePermissionsPropsTransformer,MasterLayoutDropdownPropsTransformer,MasterLayoutManagementToolbarPropsTransformer,SelectDisplayPageMasterLayoutVerticalCardPropsTransformer,SelectLayoutPageTemplateEntryMasterLayoutVerticalCardPropsTransformer"
"modules/apps/layout/layout-reports-web";"layout-reports-web";"App"
"modules/apps/layout/layout-seo-web";"layout-seo-web";"OpenGraphMapping,PreviewSeo,SeoMapping,openGraph,openGraphSettings,toggleCanonicalURLFields,toggleSitemapFields"
"modules/apps/layout/layout-set-prototype-web";"layout-set-prototype-web";"LayoutSetPrototypeDropdownDefaultPropsTransformer,LayoutSetPrototypeManagementToolbarPropsTransformer,PropagationMessage"
"modules/apps/layout/layout-taglib";"layout-taglib";"FormStepHandler,InfoItemActionHandler,SelectLayout,SimpleCollectionPagination,ViewUsages"
"modules/apps/map/map-google-maps";"map-google-maps";"App"
"modules/apps/map/map-openstreetmap";"map-openstreetmap";"App"
"modules/apps/marketplace/marketplace-settings-web";"marketplace-settings-web";"MarketplaceSettings"
"modules/apps/message-boards/message-boards-web";"message-boards-web";"BanUsersManagementToolbarPropsTransformer,MBEntriesManagementToolbarPropsTransformer,MBPortlet,SaveConfigurationButtonPropsTransformer,UpdatePrioritiesLanguagePropsTransformer,UpdateRanksLanguagePropsTransformer"
"modules/apps/my-subscriptions/my-subscriptions-web";"my-subscriptions-web";"MySubscriptionsManagementToolbarPropsTransformer"
"modules/apps/notification/notification-web";"notification-web";"EditNotificationTemplate,NotificationQueueEntryFDSPropsTransformer,NotificationTemplateFDSPropsTransformer"
"modules/apps/notifications/notifications-web";"notifications-web";"NotificationsManagementToolbarPropsTransformer"
"modules/apps/oauth2-provider/oauth2-provider-web";"oauth2-provider-web";"EditClientDetails,OAuth2ApplicationsManagementToolbarPropsTransformer,OAuth2AuthorizationsManagementToolbarPropsTransformer,oAuth2ConnectedApplicationsManagementToolbarPropsTransformer"
"modules/apps/object/object-dynamic-data-mapping-form-field-type";"object-dynamic-data-mapping-form-field-type";"Attachment"
