BUNDLE;GZIP;SIZE
apps/object/object-js-components-web/__liferay__/index.js;14488;58501
apps/object/object-web/__liferay__/index.js;81907;379272
apps/password-policies-admin/password-policies-admin-web/__liferay__/index.js;1133;2628
apps/portal-instances/portal-instances-web/__liferay__/index.js;1290;3033
apps/portal-search/portal-search-admin-web/__liferay__/index.js;6988;25219
apps/portal-search/portal-search-web/__liferay__/index.js;21864;108963
apps/portal-security/portal-security-script-management-web/__liferay__/index.js;2120;6518
apps/portal-settings/portal-settings-web/__liferay__/index.js;559;1020
apps/portal-template/portal-template-react-renderer-impl/__liferay__/index.js;383;586
apps/portal-workflow/portal-workflow-instance-tracker-web/__liferay__/index.js;4435;16422
apps/portal-workflow/portal-workflow-taglib/__liferay__/index.js;1203;3298
apps/portal-workflow/portal-workflow-task-web/__liferay__/index.js;1032;2665
apps/portal-workflow/portal-workflow-web/__liferay__/index.js;54;34
apps/portal/portal-company-log-web/__liferay__/index.js;1588;4776
apps/portal/portal-default-permissions-web/__liferay__/index.js;965;2456
apps/portlet-configuration/portlet-configuration-css-web/__liferay__/index.js;698;1340
apps/portlet-configuration/portlet-configuration-web/__liferay__/index.js;1359;3726
apps/product-navigation/product-navigation-applications-menu-web/__liferay__/index.js;3648;12637
apps/product-navigation/product-navigation-control-menu-web/__liferay__/index.js;5640;19171
apps/product-navigation/product-navigation-product-menu-web/__liferay__/index.js;5513;19451
apps/product-navigation/product-navigation-simulation-device/__liferay__/index.js;3284;10572
apps/product-navigation/product-navigation-site-administration/__liferay__/index.js;413;652
apps/product-navigation/product-navigation-taglib/__liferay__/index.js;1743;4382
apps/product-navigation/product-navigation-user-personal-bar-web/__liferay__/index.js;723;1198
apps/questions/questions-web/__liferay__/index.js;30104;132346
apps/ratings/ratings-taglib/__liferay__/index.js;4317;15173
apps/redirect/redirect-web/__liferay__/index.js;4213;14207
apps/roles/roles-admin-web/__liferay__/index.js;2578;7517
apps/saved-content/saved-content-taglib/__liferay__/index.js;1223;2734
apps/segments/segments-simulation-web/__liferay__/index.js;2091;6644
apps/segments/segments-web/__liferay__/index.js;16995;64211
apps/server/server-admin-web/__liferay__/index.js;600;961
apps/sharing/sharing-taglib/__liferay__/index.js;1570;5026
apps/sharing/sharing-web/__liferay__/index.js;4815;15817
apps/site-navigation/site-navigation-admin-web/__liferay__/index.js;11203;42711
apps/site-navigation/site-navigation-item-selector-web/__liferay__/index.js;1620;4247
